case,observable,C0,plateau_start,plateau_end,lambda_R,ci_low,ci_high,bootstrap_accept,tau_int,tau_truncated_at_t10,effective_count,stationarity_rms_over_C0,stationarity_pass,last_supported_rate_time,last_supported_lambda_eff,late_dlambda_dt_last5
equilibrium_T5_T5,cos_theta1,0.48788465809322723,1.0,1.78,-1.187833087490744,-1.3607165856697763,-1.0159711098621902,2000,0.26037947383999327,0,122897.55228426507,0.0006104401646134181,1,3.16,-0.4196087403098985,1.7130395990449967
equilibrium_T5_T5,sin_theta1,0.4787127019222124,,,,,,0,0.09658911791523128,0,331300.26125804253,0.0005132342053923625,1,nan,nan,nan
equilibrium_T5_T5,cos_theta3,0.48625558773610594,1.0,1.68,-1.1333583808110452,-1.3365572929982246,-0.9464618584435104,2000,0.25307661504318246,0,126443.92289876266,0.000729724481121355,1,2.99,-1.6964729688551001,-0.6819414245812934
equilibrium_T5_T5,cos_theta1_minus_theta3,0.4998316186224417,,,,,,0,0.13074121869549274,0,244758.31202499865,0.0005741993723926577,1,3.16,-1.2822201796975674,nan
equilibrium_T5_T5,I2,2.4254318104066206,1.0,3.35,-0.9065189091397072,-0.9664823187975431,-0.8441868234023363,2000,0.5861755328654221,0,54591.156071583704,0.0038361404275769717,1,4.47,-0.26057088318656124,0.841590128090382
equilibrium_T5_T5,I1_plus_I3,3.0387192806759145,,,,,,0,0.4286345888137509,0,74655.66437034449,0.0013612701377642247,1,5.62,-0.5001352751280322,-0.10211749303008467
equilibrium_T5_T5,I1_minus_I3,4.983352474968554,,,,,,0,0.18083204315876975,0,176959.78788396556,0.0017169794071379071,1,nan,nan,nan
