path,mode,n,clone_count,horizon,selection_time,dt,k,gauge_shift,control_scale,resample_threshold,seed,scgf,late_half_scgf,minimum_weight_ess_to_horizon,final_unique_roots,final_root_weight_ess,midpoint_failures
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run1_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,88701,-0.043464510693231116,-0.03715813155225147,533.0389071571242,158,83.8995039206273,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run1_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,88701,-0.04105746263211303,-0.03865041457099494,509.924532874312,84,32.866599799398195,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run1_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,88701,-0.04309315764106409,-0.044707320718390016,509.924532874312,53,21.84260300795734,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run2_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,88703,-0.037362992613725374,-0.04526474015280142,535.5218791069174,161,86.34519104084322,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run2_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,88703,-0.04173497970015143,-0.04610696678657748,526.7736757890252,81,36.15529963450796,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run2_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,88703,-0.045155155520201794,-0.048893714446801205,522.1713282548271,48,24.78903073286052,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run3_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,88705,-0.034714053321758385,-0.035677385494179516,549.6966245541774,161,82.20257133897773,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run3_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,88705,-0.040195230824005536,-0.04567640832625268,533.3649853708945,76,34.77633324489254,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run3_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,88705,-0.04452301412739286,-0.049812874797951184,527.4206264686749,51,22.328180230824923,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run4_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.4,0.1,0.5,1.0,88707,-0.0471255421493876,-0.04920052849120795,529.4842640950683,161,78.95903614457832,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run4_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.4,0.1,0.5,1.0,88707,-0.04931811857810673,-0.051510695006825855,529.4842640950683,91,50.35904331956584,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p4_run4_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.4,0.1,0.5,1.0,88707,-0.04755549919178351,-0.04514901785656586,529.4842640950683,60,28.67312004375171,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run1_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,88702,-0.03517073350777269,-0.051927012701460565,280.28081255934876,76,34.298573858432555,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run1_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,88702,-0.037093602580601445,-0.03901647165343021,280.28081255934876,31,16.16028110840551,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run1_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,88702,-0.03875148489472477,-0.04364764665988988,258.5113006802435,20,12.416824554755589,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run2_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,88704,-0.03824661576771819,-0.04489644194397879,277.8229437283604,66,32.05674105778049,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run2_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,88704,-0.04634866370877859,-0.05445071164983899,243.1552953689061,34,21.931230653392454,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run2_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,88704,-0.04565287859465668,-0.047005089197507816,243.1552953689061,24,14.21181317936624,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run3_summary.csv,controlled_exact,30,1024,20.0,2.0,0.0005,0.6,0.1,0.5,1.0,88706,-0.03399313745407255,-0.04819195571426742,271.72107755159186,78,29.529034074908477,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run3_summary.csv,controlled_exact,30,1024,40.0,2.0,0.0005,0.6,0.1,0.5,1.0,88706,-0.03721611719081428,-0.040439096927556005,271.72107755159186,35,15.219251647362768,0
/Users/jayleenjiang/Documents/NLS/experiments/long_chain_ft_2026-08-28/selection2_n30_k04_06/N1024_t60/n30_t60_k0p6_run3_summary.csv,controlled_exact,30,1024,60.0,2.0,0.0005,0.6,0.1,0.5,1.0,88706,-0.04197364486725279,-0.0500284187047769,265.6778232641047,24,13.050430626773535,0
